phrase,sentances,,,,,,,,,,,,,,,,,,,
richard schroeppel,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
sandstorm hash,"The SANDstorm hash was accepted into the first round of the NIST hash function competition, but was not accepted into the second round. !! The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
andrea walker,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
first round,"The SANDstorm hash was accepted into the first round of the NIST hash function competition, but was not accepted into the second round.",,,,,,,,,,,,,,,,,,,
second round,"The SANDstorm hash was accepted into the first round of the NIST hash function competition, but was not accepted into the second round.",,,,,,,,,,,,,,,,,,,
real large,"For this reason, ranking-based similarity learning is easier to apply in real large-scale applications.",,,,,,,,,,,,,,,,,,,
bellet et al,"For further information on this topic, see the surveys on metric and similarity learning by Bellet et al.",,,,,,,,,,,,,,,,,,,
nnmf  also non,"Non-negative matrix factorization (NMF or NNMF), also non-negative matrix approximation is a group of algorithms in multivariate analysis and linear algebra where a matrix V is factorized into (usually) two matrices W and H, with the property that all three matrices have no negative elements.",,,,,,,,,,,,,,,,,,,
three matrices,"Non-negative matrix factorization (NMF or NNMF), also non-negative matrix approximation is a group of algorithms in multivariate analysis and linear algebra where a matrix V is factorized into (usually) two matrices W and H, with the property that all three matrices have no negative elements.",,,,,,,,,,,,,,,,,,,
two matrices w,"Non-negative matrix factorization (NMF or NNMF), also non-negative matrix approximation is a group of algorithms in multivariate analysis and linear algebra where a matrix V is factorized into (usually) two matrices W and H, with the property that all three matrices have no negative elements.",,,,,,,,,,,,,,,,,,,
long history,"From the technology perspective, speech recognition has a long history with several waves of major innovations. !! In chemometrics non-negative matrix factorization has a long history under the name ""self modeling curve resolution"".",,,,,,,,,,,,,,,,,,,
name positive matrix factorization,Also early work on non-negative matrix factorizations was performed by a Finnish group of researchers in the 1990s under the name positive matrix factorization.,,,,,,,,,,,,,,,,,,,
also early work,Also early work on non-negative matrix factorizations was performed by a Finnish group of researchers in the 1990s under the name positive matrix factorization.,,,,,,,,,,,,,,,,,,,
finnish group,Also early work on non-negative matrix factorizations was performed by a Finnish group of researchers in the 1990s under the name positive matrix factorization.,,,,,,,,,,,,,,,,,,,
negative matrix factorization lee,In Learning the parts of objects by non-negative matrix factorization Lee and Seung proposed NMF mainly for parts-based decomposition of images.,,,,,,,,,,,,,,,,,,,
seung proposed nmf mainly,In Learning the parts of objects by non-negative matrix factorization Lee and Seung proposed NMF mainly for parts-based decomposition of images.,,,,,,,,,,,,,,,,,,,
inverse iteration algorithm requires solving,The inverse iteration algorithm requires solving a linear system or calculation of the inverse matrix.,,,,,,,,,,,,,,,,,,,
previous step,"Typically, the method is used in combination with some other method which finds approximate eigenvalues: the standard example is the bisection eigenvalue algorithm, another example is the Rayleigh quotient iteration, which is actually the same inverse iteration with the choice of the approximate eigenvalue as the Rayleigh quotient corresponding to the vector obtained on the previous step of the iteration.",,,,,,,,,,,,,,,,,,,
finds approximate eigenvalues,"Typically, the method is used in combination with some other method which finds approximate eigenvalues: the standard example is the bisection eigenvalue algorithm, another example is the Rayleigh quotient iteration, which is actually the same inverse iteration with the choice of the approximate eigenvalue as the Rayleigh quotient corresponding to the vector obtained on the previous step of the iteration.",,,,,,,,,,,,,,,,,,,
